Date,Low,Open,Volume,High,Close,Adjusted Close
03-01-2017,37.38499832,37.89599991,70422000,37.93799973,37.68349838,37.68349838
04-01-2017,37.70999908,37.91949844,50210000,37.98400116,37.85900116,37.85900116
05-01-2017,38.01300049,38.07749939,116602000,39.11999893,39.02249908,39.02249908
06-01-2017,38.92399979,39.11800003,119724000,39.97200012,39.79949951,39.79949951
09-01-2017,39.58850098,39.90000153,68922000,40.08850098,39.84600067,39.84600067
10-01-2017,39.47700119,39.83000183,51168000,39.90000153,39.79499817,39.79499817
11-01-2017,39.4754982,39.68299866,59856000,39.97499847,39.95100021,39.95100021
12-01-2017,39.97499847,40.01549911,97478000,40.70650101,40.68199921,40.68199921
13-01-2017,40.56999969,40.7159996,75838000,41.08250046,40.85699844,40.85699844
17-01-2017,40.17200089,40.78499985,73410000,40.79999924,40.48600006,40.48600006
18-01-2017,40.21350098,40.47499847,47084000,40.58649826,40.37400055,40.37400055
19-01-2017,40.36600113,40.5,50816000,40.67549896,40.45199966,40.45199966
20-01-2017,40.31299973,40.76399994,67524000,40.80099869,40.41650009,40.41650009
23-01-2017,40.25400162,40.34000015,55950000,40.92499924,40.89400101,40.89400101
24-01-2017,40.72499847,41.09999847,59434000,41.19950104,41.12200165,41.12200165
25-01-2017,41.26449966,41.28950119,78452000,41.87099838,41.82600021,41.82600021
26-01-2017,41.65000153,41.7765007,71726000,42.19200134,41.95750046,41.95750046
27-01-2017,41.47200012,41.95000076,59974000,41.98500061,41.78850174,41.78850174
30-01-2017,40.81900024,41.65000153,74946000,41.67499924,41.51900101,41.51900101
31-01-2017,40.97800064,41.1875,62744000,41.34949875,41.17399979,41.17399979
01-02-2017,41.24700165,41.46049881,77004000,41.68899918,41.61750031,41.61750031
02-02-2017,41.4129982,41.82949829,147010000,42.12450027,41.99750137,41.99750137
03-02-2017,40.20000076,40.33599854,217376000,40.91500092,40.50999832,40.50999832
06-02-2017,40.15000153,40.49000168,77946000,40.5359993,40.38199997,40.38199997
07-02-2017,40.375,40.46549988,69322000,40.80799866,40.625,40.625
08-02-2017,40.625,40.6344986,57160000,41.07400131,40.98550034,40.98550034
09-02-2017,40.98550034,41.08000183,49698000,41.25,41.06800079,41.06800079
10-02-2017,41.14250183,41.19100189,48592000,41.40000153,41.3730011,41.3730011
13-02-2017,41.42750168,41.58100128,83452000,42.15000153,41.82649994,41.82649994
14-02-2017,41.57249832,41.84999847,55848000,41.91550064,41.81949997,41.81949997
15-02-2017,41.64099884,41.70000076,59378000,42.14049911,42.13499832,42.13499832
16-02-2017,41.96900177,42.09199905,54294000,42.25,42.20700073,42.20700073
